TRACK_ID,DANCEABILITY,VALENCE,ENERGY,TEMPO,STREAMS,YEAR
7Dx9Z6Aon1qPS2N0rHSWTe,0.719,0.464,0.607,128.006,25055458,2020
7E1jVNoWuemqUryI4FxsVD,0.411,0.382,0.522,88.332,27305333,2020
7EiZI6JVHllARrX9PUvAdX,0.722,0.102,0.331,143.961,37241041,2016
7FIWs0pqAYbP91WWM0vlTQ,0.808,0.829,0.745,165.995,769770894,2020
7Feaw9WAEREY0DUOSXJLOM,0.661,0.316,0.723,113.778,124634314,2019
7GX5flRQZVHRAGd6B4TmDO,0.732,0.401,0.75,155.096,730329585,2017
7KOlJ92bu51cltsD9KU5I7,0.865,0.486,0.687,139.023,189635884,2017
7KXjTSCq5nL1LoYtL7XAwS,0.908,0.421,0.621,150.011,992321086,2017
7eBqSVxrzQZtK2mmgRG6lC,0.759,0.74,0.73,115.007,259370718,2018
7ef4DlsgrMEH11cDZd32M6,0.791,0.592,0.862,123.994,1225387792,2018
7floNISpH8VF4z4459Qo18,0.763,0.349,0.726,139.059,37351508,2017
7ju97lgwC2rKQ6wwsf9no9,0.672,0.646,0.855,123.056,561157141,2020
7k4t7uLgtOxPwTpFmtJNTY,0.803,0.574,0.715,101.085,992766430,2019
7mldq42yDuxiUNn08nvzHO,0.732,0.661,0.458,98.938,231250740,2017
7qEHsqek33rTcFNT9PFqLf,0.501,0.446,0.405,109.891,3029241037,2019
7qiZfU4dY1lWllzX7mPBI3,0.825,0.931,0.652,95.977,3509169565,2017
7rC5Pl8rQSX4myONQHYPBK,0.754,0.491,0.575,86.009,44148560,2018
7tr2za8SQg2CI8EDgrdtNl,0.736,0.511,0.795,104.066,407315701,2017
7vGuf3Y35N4wmASOKLUVVU,0.52,0.286,0.761,141.971,681892436,2017
7x4ASXYEKfQBCewcZhK776,0.718,0.531,0.712,180.034,329722532,2020
7xbWAw3LMgRMn4omR5yVn3,0.58,0.507,0.586,147.988,20981393,2020
7yBbV2k2S2uhaQc24NF2xt,0.68,0.784,0.825,117.987,27847717,2020
7ycWLEP1GsNjVvcjawXz3z,0.854,0.294,0.569,80.015,291859638,2018
017PF4Q3l4DBUiWoXk4OWT,0.73,0.467,0.729,113.011,678936475,2020
07KXEDMj78x68D884wgVEm,0.831,0.511,0.499,97.956,226108906,2019
08bNPGLD8AhKpnnERrAc6G,0.626,0.534,0.88,95.079,714909410,2018
09IStsImFySgyp0pIQdqAc,0.753,0.437,0.657,107.01,421527037,2018
0At2qAoaVjIwWNAqrscXli,0.561,0.235,0.779,81.965,52481483,2017
0EhpEsp4L0oRGM0vmeaN5e,0.571,0.393,0.693,168.169,483027771,2020
0H1Had94fszD13qsFsP1U5,0.497,0.47,0.77,167.892,5651686,2018
0JP9xo3adEtGSdUEISiszL,0.921,0.711,0.537,128.009,1055535621,2018
0P6AWOA4LG1XOctzaVu5tt,0.775,0.667,0.573,101.925,44428529,2017
0PvFJmanyNQMseIFrU708S,0.823,0.347,0.586,125.971,672674643,2020
0QIjsbm2fh1cJ45XO9eGqq,0.8,0.367,0.578,143.01,123541054,2018
0Ryd8975WihbObpp5cPW1t,0.4,0.702,0.795,190.097,227960793,2019
0TlLq3lA83rQOYtrqBqSct,0.912,0.423,0.412,154.983,354736338,2018
0VgkVdmE4gld66l8iyGjgx,0.833,0.281,0.434,150.062,95590598,2017
0VhgEqMTNZwYL1ARDLLNCX,0.696,0.479,0.543,107.969,18106766,2016
0WdR2AyLW1Drd3OUdwezM0,0.71,0.658,0.614,148.152,26456966,2018
0afhq8XCExXpqazXczTSve,0.624,0.781,0.876,99.943,542572346,2017
0azC730Exh71aQlOt9Zj3y,0.631,0.465,0.927,123.962,125518222,2016
0lMbuWUpfTWhEmOKxppEau,0.753,0.657,0.76,91.953,127822788,2017
0mjAU3yKR1QnXnHtjGJqTM,0.759,0.64,0.605,121.049,210119346,2019
0nbXyq5TXYPCO7pr3N8S4I,0.896,0.642,0.586,116.971,1255822047,2019
0q85C1JiECyYIQthz1posA,0.624,0.26,0.672,159.852,14702027,2020
0sci7ppTZFm4mjcH3nu8yO,0.772,0.456,0.506,127.894,17023111,2020
0tgVpDi06FyKpA1z0VMD4v,0.599,0.168,0.448,95.05,2797600939,2017
0w5Bdu51Ka25Pf3hojsKHh,0.695,0.916,0.818,119.965,27508768,2017
0zzVTGyRrWpQu8Fr28NRAv,0.743,0.263,0.837,103.072,42936826,2020
116H0KvKr2Zl4RPuVBruDO,0.817,0.158,0.539,97.062,688289134,2018
127QTOFJsJQp5LbJbu3A1y,0.834,0.837,0.454,81.618,160007880,2020
14SaZBTjxlorHJQxXh01Hu,0.656,0.09,0.432,97.022,10607196,2018
14gkWVFMwdxBMyqBw1wmIg,0.552,0.092,0.599,161.884,18185389,2020
1AqemxWsT0iGg5Lvkm16Bt,0.798,0.304,0.412,135.959,5486769,2018
1BYZxKSf0aTxp8ZFoeyM3d,0.566,0.237,0.366,129.959,31440045,2018
1FBi1YWCAxlRmfuUbMINqO,0.399,0.175,0.591,79.892,4994817,2018
1H7KnK26kc1YyellpbINEn,0.49,0.286,0.618,99.7,232825651,2020
1IIKrJVP1C9N7iPtG6eOsK,0.755,0.581,0.578,94.148,284236722,2020
1IWNylpZ477gIVUDpJL66u,0.752,0.784,0.87,120.006,99347427,2020
1TEL6MlSSVLSdhOSddidlJ,0.647,0.195,0.309,87.045,85164349,2019
1XRgIKC5TPwo7nWGyKqgG0,0.89,0.425,0.633,139.948,141765145,2017
1ZAyjvIk9YiD76yYy0TEG6,0.876,0.158,0.519,94.981,40515208,2018
1cS0TgbR263ey9jn0MwD2s,0.748,0.659,0.749,90.09,4175431,2017
1dUHF4RyMmMTveJ0Rby6Xm,0.761,0.446,0.598,173.897,4600548,2018
1e1JKLEDKP7hEQzJfNAgPl,0.791,0.443,0.582,162.991,160353560,2017
1fipvP2zmef6vN2IwXfJhY,0.501,0.152,0.674,155.051,62960452,2020
